Date,EE_BC1,EE_BC2,EE_BC3,Q_BC1,T_SAL_BC1,T_ENT_BC1,ET_BC1_Frio,ET_BC1_Calor,Q_BC2,T_SAL_BC2,T_ENT_BC2,ET_BC2_Frio,ET_BC2_Calor,Q_BC3,T_SAL_BC3,T_ENT_BC3,ET_BC3_Frio,ET_BC3_Calor,Q_TER,T_IMP_TER,T_RET_TER,ET_TER_Frio,ET_TER_Calor,EE_TER,EE_BC1_TER,EE_BC2_TER
08-02-2024;02:50:00.000,"46.653","95.75","2895.589","16.84","43.8","42.18","0.01","0.184","0","41.3","37.26","0","0.42","0","17.08","17.43","0.712","1.291","34.37","15.3","15.93","0.312","0","41.159","0","0"
08-02-2024;03:00:00.000,"48.583","96.45","2895.589","16.78","47.56","43.85","0.01","0.193","16.12","44.68","43.81","0","0.42","0","17.14","17.46","0.712","1.291","36.73","14.33","15.95","0.32","0","41.549","0","0"
08-02-2024;03:10:00.000,"50.173","103.52","2895.589","0","45.94","45.65","0.01","0.201","0","46.38","46.5","0","0.45","0","17.15","17.47","0.712","1.291","32.93","15.92","15.89","0.328","0","41.941","0","0"
08-02-2024;03:20:00.000,"50.173","103.52","2895.589","0","44.59","45.51","0.01","0.201","0","45.27","44.51","0","0.45","0","17.17","17.5","0.712","1.291","32.7","15.71","15.66","0.328","0","42.325","0","0"
08-02-2024;03:30:00.000,"50.173","103.52","2895.589","0","43.39","45.11","0.01","0.201","0","43.87","42.19","0","0.45","0","17.2","17.52","0.712","1.291","32.9","15.75","15.77","0.328","0","42.711","0","0"
08-02-2024;03:40:00.000,"50.173","103.52","2895.589","0","42.55","44.62","0.01","0.201","0","42.97","40.41","0","0.45","0","17.23","17.51","0.712","1.291","32.47","15.9","15.87","0.328","0","43.094","0","0"
08-02-2024;03:50:00.000,"50.173","103.52","2895.589","0","41.67","44.11","0.01","0.201","0","42.4","38.76","0","0.45","0","17.23","17.55","0.712","1.291","32.71","15.91","15.9","0.328","0","43.478","0","0"
08-02-2024;04:00:00.000,"50.464","103.52","2895.589","16.79","43.83","42.19","0.01","0.202","0","41.75","37.63","0","0.45","0","17.25","17.56","0.712","1.291","34.03","15.35","15.94","0.329","0","43.866","0","0"
08-02-2024;04:10:00.000,"52.42","104.47","2895.589","16.78","47.55","43.82","0.01","0.211","16.16","45.06","44.01","0","0.45","0","17.27","17.59","0.712","1.291","36.52","14.27","15.96","0.336","0","44.256","0","0"
08-02-2024;04:20:00.000,"53.91","111.01","2895.589","0","45.87","45.6","0.01","0.219","0","46.38","46.32","0","0.48","0","17.29","17.63","0.712","1.291","33.4","15.95","15.89","0.345","0","44.651","0","0"
